id,primary_name,prefixes,total.dois,current.dois,backfile.dois,flags.deposits.abstracts.current,coverge.abstracts.current,flags.deposits.abstracts.backfile,coverge.abstracts.backfile
21625,Universidad Privada Maria Serrana,10.36003,38,29,9,FALSE,0,FALSE,0
11134,Association of Pulmonologists from Republika Srpska,10.26601,46,29,17,FALSE,0,FALSE,0
11202,"Asociatia Bibliotecarilor din Romania /ABR, Romanian Library Association",10.26660,46,29,17,FALSE,0,FALSE,0
11746,Coordinacion de Publicaciones de la Escuela Superior de Economia,10.29201,158,29,129,TRUE,0.862068951129913,TRUE,0.813953459262848
12138,Australian and New Zealand Student Services Association Inc.,10.30688,38,29,9,FALSE,0,FALSE,0
22418,Society for Industrial and Systems Engineering,10.37266,44,29,15,TRUE,1,TRUE,1
23722,Universidad Nacional Autonoma de Chota,10.37518,29,29,0,FALSE,0,FALSE,0
24094,Asociacion para el Desarrollo de la Ingenieria de Organizacion,10.37610,29,29,0,TRUE,0.655172407627106,FALSE,0
23524,"Lembaga Penelitian dan Pengabdian Kepada Masyarakat, Sekolah Tinggi Ilmu Komunikasi - AWS",10.37826,29,29,0,TRUE,0.862068951129913,FALSE,0
23743,Institute of Defense Acquisition Program,10.37944,29,29,0,TRUE,0.206896558403969,FALSE,0
11421,Universidad Nacional del Altiplano - Faculty of Economic Engineering,10.26867,74,29,45,FALSE,0,FALSE,0
6884,Association of Dongak Art History,10.17300,159,29,130,FALSE,0,FALSE,0
1444,Japanese Society of Veterinary Dermatology,10.2736,343,28,315,FALSE,0,FALSE,0
20462,Environmental Research and Technology,10.35208,28,28,0,FALSE,0,FALSE,0
9401,Rutgers University - Newark School of Public Affairs and Administration,10.22140,595,28,567,TRUE,0.821428596973419,TRUE,0.980599641799927
10209,Institute of Business Research,10.24122,117,28,89,TRUE,0.892857134342194,TRUE,0.74157303571701
10691,The Korean Society for Research on Nicotine and Tobacco,10.25055,110,28,82,FALSE,0,FALSE,0
11126,The Korean Society of Inclusive Education,10.26592,185,28,157,FALSE,0,FALSE,0
1314,Arachnological Society of Japan,10.2476,1078,28,1050,FALSE,0,FALSE,0
1452,Japan Society of Veterinary Epidemiology,10.2743,757,28,729,FALSE,0,FALSE,0
2697,Japanese Society of Veterinary Clinics,10.4190,523,28,495,FALSE,0,FALSE,0
3045,Japan Society of Engineering Geology,10.5110,1418,28,1390,FALSE,0,FALSE,0
9130,Mugla Sitki Kocman University Journal of Education,10.21666,81,28,53,FALSE,0,FALSE,0
19786,Gazdasag es Penzugy,10.33926,28,28,0,FALSE,0,FALSE,0
19973,Geneesmiddelenbulletin Foundation,10.35351,28,28,0,FALSE,0,FALSE,0
3993,"Administrative Issues Journal: Education, Practice and Research",10.5929,148,28,120,FALSE,0,FALSE,0
5234,Canadian Nuclear Laboratories Limited,10.12943,146,28,118,TRUE,1,TRUE,0.627118647098541
5434,Fundamental Journals,10.14331,182,28,154,FALSE,0,TRUE,0.0389610379934311
5840,International Society for Phytocosmetic Sciences,10.15171,70,28,42,TRUE,0.0357142873108387,FALSE,0
6367,Scandinavian Psychologist,10.15714,93,28,65,FALSE,0,FALSE,0
7296,The Japanese Society for Quality Control,10.17929,58,28,30,FALSE,0,FALSE,0
7612,Universidade Estadual da Paraiba (UEPB),10.18391,117,28,89,TRUE,0.892857134342194,TRUE,0.853932559490204
7921,Revista Exacta,10.18674,285,28,257,TRUE,0.928571403026581,TRUE,0.906614780426025
8173,Journal of General-Procedural Dermatology & Venereology,10.19100,62,28,34,FALSE,0,FALSE,0
8350,SoftQ Sp. z.o.o.,10.20418,190,28,162,FALSE,0,FALSE,0
8392,Birey ve Toplum Sosyal Bilimler Dergisi,10.20493,62,28,34,FALSE,0,FALSE,0
8485,Clio Arqueologica,10.20891,68,28,40,FALSE,0,FALSE,0
8753,Korean Minimally Invasive Spine Surgery Research Society,10.21182,51,28,23,FALSE,0,FALSE,0
8905,Orissa Journal of Otolaryngology and Head and Neck Surgery,10.21176,63,28,35,FALSE,0,FALSE,0
8981,Korean Association of Lusophone Area Studies,10.21540,193,28,165,FALSE,0,FALSE,0
9622,Flinders University Library,10.22356,42,28,14,TRUE,1,TRUE,1
10088,Physical Education Lab of Chung-Ang University,10.24007,49,28,21,FALSE,0,FALSE,0
10388,The Society Korean Children Literature,10.24286,61,28,33,FALSE,0,FALSE,0
10415,International Society for Problem-Based Learning,10.24313,48,28,20,FALSE,0,FALSE,0
19197,Revista Uruguaya de Enfermeria,10.33517,28,28,0,FALSE,0,FALSE,0
20251,Future Oriented Youth Society,10.34244,28,28,0,FALSE,0,FALSE,0
23823,American Nephrology Nurses Association,10.37526,28,28,0,FALSE,0,FALSE,0
24565,Web of Open Science,10.37686,28,28,0,FALSE,0,FALSE,0
25573,True Vision Innovative Research Association,"10.46378, 10.46379",28,28,0,TRUE,1,FALSE,0
11703,Veterinaria - Montevideo,10.29155,31,28,3,FALSE,0,FALSE,0
11967,Journal of Aviation,10.30518,46,28,18,FALSE,0,FALSE,0
12148,Results in Fixed Point Theory and Applications,10.30697,28,28,0,FALSE,0,FALSE,0
12227,"Secondary Education Institute, Kyungpook National University",10.30777,28,28,0,FALSE,0,FALSE,0
12399,Olimpianos - Journal of Olympic Studies,10.30937,45,28,17,FALSE,0,FALSE,0
16078,A.P. Ershov Institute of Informatics Systems SB RAS,10.31144,136,28,108,FALSE,0,FALSE,0
16094,Revista Teoria e Pesquisa,10.31068,36,28,8,FALSE,0,FALSE,0
16763,Koreanische Kafka Gesellschaft,10.31647,28,28,0,FALSE,0,FALSE,0
10200,Global China Academy,10.24103,55,28,27,FALSE,0,FALSE,0
16930,Staroslavenski institut,10.31745,33,28,5,TRUE,1,TRUE,1
17040,Academy Journal of Educational Sciences,10.31805,33,28,5,FALSE,0,FALSE,0
17306,Anu Books,10.31995,28,28,0,TRUE,0.25,FALSE,0
17631,Forum Dosen Akuntansi Sektor Publik,10.32554,28,28,0,TRUE,0.892857134342194,FALSE,0
17758,Ondokuz Mayis University - Guncel Turizm Arastirmalari Dergisi,10.32572,28,28,0,FALSE,0,FALSE,0
17743,Nina B. Hollis Institute at Stetson University,10.32623,28,28,0,FALSE,0,FALSE,0
17829,Global Institute for Japanese Studies - Japanese Studies Journal,10.32624,101,28,73,FALSE,0,FALSE,0
17950,The SNU Society of Labor Law,10.32716,28,28,0,FALSE,0,FALSE,0
18374,Vasbetonepites,10.32969,28,28,0,FALSE,0,FALSE,0
18392,Croatian Academy of Legal Sciences,10.32984,28,28,0,TRUE,1,FALSE,0
18630,Editora Mecenas Ltda,10.33158,70,28,42,TRUE,1,TRUE,0.976190447807312
8266,Central Institute of Cultural Heritage,10.20292,56,28,28,FALSE,0,FALSE,0
9397,Komunitas Ilmuwan dan Profesional Muslim Indonesia (KIPMI),10.21924,56,28,28,TRUE,0.428571432828903,FALSE,0
11666,ZygoScient Research Insights Inc.,10.28967,63,28,35,FALSE,0,FALSE,0
19013,HOMEROS,10.33390,28,28,0,FALSE,0,FALSE,0
19761,Economy and Finance,10.33908,28,28,0,FALSE,0,FALSE,0
20027,European Academy of Applied and Social Sciences (EURAASS),10.34154,28,28,0,TRUE,0.964285731315613,FALSE,0
20317,Universitas Siliwangi,10.34289,43,28,15,FALSE,0,FALSE,0
20398,The Research Foundation of Korean Church History,10.35162,28,28,0,FALSE,0,FALSE,0
20709,Institute of Cardio Technics - INCART,10.35336,28,28,0,TRUE,0.892857134342194,FALSE,0
21226,Jurnal Riset Bisnis - JRB,10.35592,28,28,0,TRUE,1,FALSE,0
21601,International Advanced Researches and Engineering Journal,10.35860,28,28,0,FALSE,0,FALSE,0
21874,Sekolah Tinggi Ilmu Kesehatan Kepanjen,10.36053,57,28,29,TRUE,0.892857134342194,TRUE,0.896551728248596
22081,Iberian American Journal of Podiatry,10.36271,28,28,0,TRUE,0.892857134342194,FALSE,0
22199,TTO Conference Ltd,10.36370,28,28,0,FALSE,0,FALSE,0
22404,Institute of Plant Protection of NAAS,10.36495,28,28,0,TRUE,0.857142865657806,FALSE,0
22597,Maggallat Gami at al-Husayn bin Talal li-l-buhut - Print,10.36621,85,28,57,FALSE,0,FALSE,0
22685,Korea Youth Activity Research Association,10.36697,28,28,0,FALSE,0,FALSE,0
22970,Drukarnia Madryd,10.36887,28,28,0,TRUE,0.928571403026581,FALSE,0
23025,Editora Inovar,10.36926,28,28,0,FALSE,0,FALSE,0
22655,International Council for Research and Innovation in Building and Construction,10.36680,28,28,0,TRUE,0.928571403026581,FALSE,0
23346,Roa Iktissadia Review,10.37137,81,28,53,FALSE,0,FALSE,0
